words,sentiment
"?? ?????? ???? ???? ???? ???,",positive
"?? ????? ?? ????? ???? ?? ??????? ???,positive",positive
"????? ?? ???? ?? ???? ?? ???? ???? ????? ????,positive",positive
"?? ???? ???? ??, ???? ??? ????? ???? ???,negative",negative
"????? ?? ???? ????? ?? ?? ???? ??????? ???,positive",positive
"?? ?????? ???? ?? ??????? ??, ????? ??? ?? ??? ?? ????? ????? ????,positive",positive
"???? ?? ??? ????? ???? ??? ?? ???? ???? ????? ?? ??? ???,positive",positive
"????? ?? ?? ????? ?? ???? ?? ???? ?? ???? ????? ????,positive",positive
"????? ?? ??? ??? ????, ?? ???? ????? ????? ???,positive",positive
"???? ??? ??? ?? ??? ??, ??? ?? ??? ????,negative",negative
"???? ??? ?? ?? ??????? ??? ??? ??, ????? ???? ?????? ?? ??? ??? ???????,positive",positive
"????? ?? ?????? ?? ???? ?? ???? ???? ???? ???,positive",positive
"?? ?? ??? ????? ??, ????? ???? ??? ??? ???? ??? ????,positive",positive
"????? ?? ???? ??????? ?? ??? ??????? ????? ??? ????? ?? ???? ?????,positive",positive
"?? ??? ???? ???? ???? ???, ????? ??? ???-??? ?????,positive",positive
"????? ?? ??? ??? ????, ?? ???? ????? ????? ???,positive",positive
"???? ??? ????? ???, ????? ???? ??? ???? ????,positive",positive
"????? ?? ???? ???? ????? ?????? ????, ?? ???? ???? ?? ??? ???,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
"????? ?? ???? ??? ?????? ????? ????, ???? ??? ?? ???? ???? ????,positive",positive
"?? ?? ?? ?? ???? ?? ?? ??? ???? ???? ??? ???,positive",positive
"?? ???? ??? ????? ???? ????, ??? ??? ????,positive",positive
"?? ?????? ???? ?? ??????? ??, ???? ???? ???? ????? ??????? ?????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ?? ???? ??? ???, ???? ??? ??? ??? ??? ????,positive",positive
"????? ?? ?? ???? ?? ???? ?? ??? ????, ???? ??? ?? ???? ???? ????,positive",positive
"????? ?? ???? ????? ???? ????, ???? ???? ????,positive",positive
"??? ??? ??? ?? ?? ???? ??? ?? ????? ????,positive",positive
